device,country,topic,category,sub_category,raw_messages,raw_users,raw_conversations,index,date
desktop,840,8K Televisions,Retail & Consumer Products,Consumer Electronics,337,137,150,150,2025-12-01
desktop,840,Display Technology Reviews,Retail & Consumer Products,Consumer Electronics,292,134,150,150,2025-12-01
desktop,840,Flat Screen TVs,Retail & Consumer Products,Consumer Electronics,325,136,149,149,2025-12-01
desktop,840,Home Theater Screens,Retail & Consumer Products,Consumer Electronics,312,139,148,148,2025-12-01
desktop,840,Graphic Monitors,Retail & Consumer Products,Consumer Electronics,314,135,147,147,2025-12-01
desktop,840,Gaming Monitors,Retail & Consumer Products,Consumer Electronics,226,129,141,141,2025-12-02
desktop,840,Display & Monitor Distribution,Retail & Consumer Products,Consumer Electronics,298,130,141,141,2025-12-01
desktop,840,Wireless Display Adapters,Retail & Consumer Products,Consumer Electronics,268,135,140,140,2025-12-01
desktop,840,Gaming Hardware Price Comparison,Retail & Consumer Products,Consumer Electronics,209,134,139,139,2025-12-01
desktop,840,4K Ultra HD TVs,Retail & Consumer Products,Consumer Electronics,298,128,139,139,2025-12-01
desktop,840,Monitors & Displays,Retail & Consumer Products,Consumer Electronics,294,127,139,139,2025-12-01
desktop,840,High Brightness Displays,Retail & Consumer Products,Consumer Electronics,295,127,139,139,2025-12-01
desktop,840,Home Cinema Equipment Reviews,Retail & Consumer Products,Consumer Electronics,262,128,138,138,2025-12-01
desktop,840,HDMI Displays,Retail & Consumer Products,Consumer Electronics,257,114,137,137,2025-12-02
desktop,840,Digital Signage Monitors,Retail & Consumer Products,Consumer Electronics,267,125,135,135,2025-12-01
desktop,840,Gaming Monitor Reviews,Retail & Consumer Products,Consumer Electronics,277,122,134,134,2025-12-01
desktop,840,Gaming Mini PCs,Retail & Consumer Products,Consumer Electronics,254,126,134,134,2025-12-01
desktop,840,Smart TVs & Media Players,Retail & Consumer Products,Consumer Electronics,270,125,133,133,2025-12-01
desktop,840,Monitors & Viewfinders,Retail & Consumer Products,Consumer Electronics,261,122,131,131,2025-12-01
desktop,840,Display Hardware,Retail & Consumer Products,Consumer Electronics,260,120,131,131,2025-12-01
desktop,840,Tablet Displays,Retail & Consumer Products,Consumer Electronics,230,122,131,131,2025-12-01
desktop,840,3D Monitors,Retail & Consumer Products,Consumer Electronics,274,118,131,131,2025-12-01
desktop,840,Video Monitors,Retail & Consumer Products,Consumer Electronics,281,120,131,131,2025-12-01
desktop,840,Smart TVs & Audio,Retail & Consumer Products,Consumer Electronics,284,120,129,129,2025-12-01
desktop,840,Laptop Price Comparison,Retail & Consumer Products,Consumer Electronics,207,123,129,129,2025-12-01
desktop,840,Gaming PCs & Accessories,Retail & Consumer Products,Consumer Electronics,234,120,129,129,2025-12-01
desktop,840,Gaming PCs,Retail & Consumer Products,Consumer Electronics,252,119,129,129,2025-12-01
desktop,840,LED Televisions,Retail & Consumer Products,Consumer Electronics,267,118,128,128,2025-12-01
desktop,840,Laptop Comparison Platform,Retail & Consumer Products,Consumer Electronics,204,121,128,128,2025-12-01
desktop,840,Touchscreen Monitors,Retail & Consumer Products,Consumer Electronics,270,117,128,128,2025-12-01
desktop,840,Stretched Displays,Retail & Consumer Products,Consumer Electronics,234,118,126,126,2025-12-01
desktop,840,Computer Hardware Reviews & Guides,Retail & Consumer Products,Consumer Electronics,209,119,125,125,2025-12-01
desktop,840,HDTVs,Retail & Consumer Products,Consumer Electronics,266,116,125,125,2025-12-01
desktop,840,VR Ready PCs,Retail & Consumer Products,Consumer Electronics,255,116,124,124,2025-12-01
desktop,840,Gaming Notebooks,Retail & Consumer Products,Consumer Electronics,261,116,123,123,2025-12-01
desktop,840,Video Displays,Retail & Consumer Products,Consumer Electronics,222,115,123,123,2025-12-01
desktop,840,Gaming Laptops,Retail & Consumer Products,Consumer Electronics,243,118,123,123,2025-12-01
desktop,840,Ultrawide Monitors,Retail & Consumer Products,Consumer Electronics,259,109,122,122,2025-12-01
desktop,840,Multiparameter Monitors,Retail & Consumer Products,Consumer Electronics,255,111,121,121,2025-12-01
desktop,840,TV & Display Parts,Retail & Consumer Products,Consumer Electronics,223,110,120,120,2025-12-01
desktop,840,Projectors & Displays,Retail & Consumer Products,Consumer Electronics,206,113,120,120,2025-12-01
desktop,840,4K Displays,Retail & Consumer Products,Consumer Electronics,221,101,119,119,2025-12-02
desktop,840,Audio/Video Extenders,Retail & Consumer Products,Consumer Electronics,226,114,119,119,2025-12-01
desktop,840,Smart Monitors,Retail & Consumer Products,Consumer Electronics,225,102,119,119,2025-12-02
desktop,840,OLED Panels,Retail & Consumer Products,Consumer Electronics,231,111,119,119,2025-12-01
desktop,840,Portable Monitors,Retail & Consumer Products,Consumer Electronics,227,109,118,118,2025-12-01
desktop,840,Gaming Hardware Recommendations,Retail & Consumer Products,Consumer Electronics,207,114,118,118,2025-12-01
desktop,840,HD Televisions,Retail & Consumer Products,Consumer Electronics,252,109,118,118,2025-12-01
desktop,840,HDMI Monitors,Retail & Consumer Products,Consumer Electronics,220,104,118,118,2025-12-02
desktop,840,DLP Projectors,Retail & Consumer Products,Consumer Electronics,212,109,118,118,2025-12-01
desktop,840,Backlit Displays,Retail & Consumer Products,Consumer Electronics,218,111,117,117,2025-12-01
desktop,840,Gaming Laptop Reviews,Retail & Consumer Products,Consumer Electronics,247,112,117,117,2025-12-01
desktop,840,New Gaming PCs,Retail & Consumer Products,Consumer Electronics,225,110,116,116,2025-12-01
desktop,840,Desktop PCs & Monitors,Retail & Consumer Products,Consumer Electronics,214,106,115,115,2025-12-01
desktop,840,OLED TVs,Retail & Consumer Products,Consumer Electronics,224,96,115,115,2025-12-02
desktop,840,LCD & LED Displays,Retail & Consumer Products,Consumer Electronics,218,107,115,115,2025-12-01
desktop,840,4K Projectors,Retail & Consumer Products,Consumer Electronics,207,107,115,115,2025-12-01
desktop,840,TV & Monitor Parts,Retail & Consumer Products,Consumer Electronics,232,106,115,115,2025-12-01
desktop,840,Gaming PC Recommendations,Retail & Consumer Products,Consumer Electronics,210,107,114,114,2025-12-01
desktop,840,High-Performance PCs,Retail & Consumer Products,Consumer Electronics,196,108,114,114,2025-12-01
desktop,840,Screen Hardware,Retail & Consumer Products,Consumer Electronics,172,101,113,113,2025-12-02
desktop,840,Rackmount Monitors,Retail & Consumer Products,Consumer Electronics,246,104,113,113,2025-12-01
desktop,840,Wireless Audio Adapters,Retail & Consumer Products,Consumer Electronics,187,105,113,113,2025-12-01
desktop,840,Gaming Televisions,Retail & Consumer Products,Consumer Electronics,230,100,112,112,2025-12-01
desktop,840,On-Camera Monitors,Retail & Consumer Products,Consumer Electronics,186,100,112,112,2025-12-02
desktop,840,Gaming PC Configuration,Retail & Consumer Products,Consumer Electronics,206,104,112,112,2025-12-01
desktop,840,Display Solutions,Retail & Consumer Products,Consumer Electronics,200,105,111,111,2025-12-01
desktop,840,Gaming PC Reviews,Retail & Consumer Products,Consumer Electronics,217,104,111,111,2025-12-01
desktop,840,E-ink Monitors,Retail & Consumer Products,Consumer Electronics,227,103,110,110,2025-12-01
desktop,840,Projectors & Screens,Retail & Consumer Products,Consumer Electronics,170,104,109,109,2025-12-01
desktop,840,TV & Streaming Devices,Retail & Consumer Products,Consumer Electronics,190,101,109,109,2025-12-01
desktop,840,OLED Monitors,Retail & Consumer Products,Consumer Electronics,217,93,109,109,2025-12-02
desktop,840,Large Format Displays,Retail & Consumer Products,Consumer Electronics,206,103,109,109,2025-12-01
desktop,840,Gaming Mini PCs,Retail & Consumer Products,Consumer Electronics,166,99,109,109,2025-12-02
desktop,840,PC & Laptop Reviews,Retail & Consumer Products,Consumer Electronics,190,105,108,108,2025-12-01
desktop,840,Laptop Screen Extenders,Retail & Consumer Products,Consumer Electronics,206,102,108,108,2025-12-01
desktop,840,all,Retail & Consumer Products,Gifts and Florists,92479,25987,40954,40954,2025-12-01
desktop,840,all,Retail & Consumer Products,Gifts and Florists,91045,25716,40663,40663,2025-12-02
desktop,840,all,Retail & Consumer Products,Gifts and Florists,87683,24959,39087,39087,2025-12-03
desktop,840,all,Retail & Consumer Products,Gifts and Florists,86590,24595,38243,38243,2025-12-04
desktop,840,all,Retail & Consumer Products,Gifts and Florists,75148,21385,32655,32655,2025-12-05
desktop,840,all,Retail & Consumer Products,Gifts and Florists,53390,15891,22800,22800,2025-12-07
desktop,840,all,Retail & Consumer Products,Gifts and Florists,43914,12885,18625,18625,2025-12-06
desktop,840,Klaviyo Consulting,Retail & Consumer Products,Gifts and Florists,5208,2113,2890,2890,2025-12-02
desktop,840,Klaviyo Consulting,Retail & Consumer Products,Gifts and Florists,5258,2119,2851,2851,2025-12-03
desktop,840,Klaviyo Consulting,Retail & Consumer Products,Gifts and Florists,5194,2077,2841,2841,2025-12-04
desktop,840,Klaviyo Consulting,Retail & Consumer Products,Gifts and Florists,4791,2034,2654,2654,2025-12-01
desktop,840,Personalized Outreach Automation,Retail & Consumer Products,Gifts and Florists,3979,1794,2295,2295,2025-12-02
desktop,840,Klaviyo Consulting,Retail & Consumer Products,Gifts and Florists,3981,1656,2190,2190,2025-12-05
desktop,840,Personalized Outreach Automation,Retail & Consumer Products,Gifts and Florists,3834,1703,2169,2169,2025-12-04
desktop,840,Multi-channel Outreach Automation,Retail & Consumer Products,Gifts and Florists,3701,1629,2129,2129,2025-12-02
desktop,840,Personalized Outreach Automation,Retail & Consumer Products,Gifts and Florists,3860,1690,2125,2125,2025-12-03
desktop,840,Personalized Outreach Automation,Retail & Consumer Products,Gifts and Florists,3747,1633,2065,2065,2025-12-01
desktop,840,Multi-channel Outreach Automation,Retail & Consumer Products,Gifts and Florists,3719,1616,2063,2063,2025-12-03
desktop,840,Multi-channel Outreach Automation,Retail & Consumer Products,Gifts and Florists,3654,1589,2052,2052,2025-12-04
desktop,840,Multi-channel Outreach Automation,Retail & Consumer Products,Gifts and Florists,3499,1520,1937,1937,2025-12-01
desktop,840,AI Sales Outreach Platform,Retail & Consumer Products,Gifts and Florists,2841,1338,1698,1698,2025-12-02
desktop,840,Business Formalities Assistance,Retail & Consumer Products,Gifts and Florists,2309,1503,1684,1684,2025-12-01
desktop,840,Business Formalities Assistance,Retail & Consumer Products,Gifts and Florists,2299,1506,1681,1681,2025-12-02
desktop,840,AI-Powered Outreach,Retail & Consumer Products,Gifts and Florists,2843,1306,1676,1676,2025-12-02
desktop,840,AI Sales Outreach Platform,Retail & Consumer Products,Gifts and Florists,2868,1334,1668,1668,2025-12-03
desktop,840,AI Lead Nurturing,Retail & Consumer Products,Gifts and Florists,2908,1258,1665,1665,2025-12-02
desktop,840,Personalized Outreach Automation,Retail & Consumer Products,Gifts and Florists,3027,1295,1659,1659,2025-12-05
desktop,840,Lead Nurturing Services,Retail & Consumer Products,Gifts and Florists,2839,1247,1647,1647,2025-12-02
desktop,840,Business Formalities Assistance,Retail & Consumer Products,Gifts and Florists,2190,1439,1644,1644,2025-12-03
desktop,840,ActiveCampaign Consulting,Retail & Consumer Products,Gifts and Florists,2895,1281,1635,1635,2025-12-02
desktop,840,Document Preparation Assistance,Retail & Consumer Products,Gifts and Florists,2063,1528,1623,1623,2025-12-02
desktop,840,AI-Powered Outreach,Retail & Consumer Products,Gifts and Florists,2897,1279,1614,1614,2025-12-03
desktop,840,AI Lead Nurturing,Retail & Consumer Products,Gifts and Florists,2910,1263,1610,1610,2025-12-03
desktop,840,AI Sales Outreach Platform,Retail & Consumer Products,Gifts and Florists,2801,1265,1608,1608,2025-12-04
desktop,840,AI-Powered Outreach,Retail & Consumer Products,Gifts and Florists,2788,1254,1604,1604,2025-12-04
desktop,840,ActiveCampaign Consulting,Retail & Consumer Products,Gifts and Florists,2814,1237,1603,1603,2025-12-01
desktop,840,AI Lead Nurturing,Retail & Consumer Products,Gifts and Florists,2919,1218,1596,1596,2025-12-04
desktop,840,Document Preparation Assistance,Retail & Consumer Products,Gifts and Florists,2036,1507,1582,1582,2025-12-01
desktop,840,ActiveCampaign Consulting,Retail & Consumer Products,Gifts and Florists,2834,1236,1582,1582,2025-12-04
desktop,840,ActiveCampaign Consulting,Retail & Consumer Products,Gifts and Florists,2772,1282,1580,1580,2025-12-03
desktop,840,AI Sales Outreach Platform,Retail & Consumer Products,Gifts and Florists,2745,1268,1565,1565,2025-12-01
desktop,840,Multi-channel Outreach Automation,Retail & Consumer Products,Gifts and Florists,2887,1210,1556,1556,2025-12-05
desktop,840,Lead Nurturing Services,Retail & Consumer Products,Gifts and Florists,2785,1226,1555,1555,2025-12-03
desktop,840,Business Formalities Assistance,Retail & Consumer Products,Gifts and Florists,2074,1405,1552,1552,2025-12-04
desktop,840,AI-Powered Outreach,Retail & Consumer Products,Gifts and Florists,2732,1231,1545,1545,2025-12-01
desktop,840,Document Preparation Assistance,Retail & Consumer Products,Gifts and Florists,1922,1439,1528,1528,2025-12-04
desktop,840,Document Preparation Assistance,Retail & Consumer Products,Gifts and Florists,1902,1441,1525,1525,2025-12-03
desktop,840,Lead Nurturing Services,Retail & Consumer Products,Gifts and Florists,2807,1147,1517,1517,2025-12-04
desktop,840,AI Marketing Assistant,Retail & Consumer Products,Gifts and Florists,2234,1266,1507,1507,2025-12-02
desktop,840,AI Lead Nurturing,Retail & Consumer Products,Gifts and Florists,2767,1168,1499,1499,2025-12-01
desktop,840,Lead Nurturing Automation,Retail & Consumer Products,Gifts and Florists,2635,1108,1495,1495,2025-12-02
desktop,840,User Onboarding Consulting,Retail & Consumer Products,Gifts and Florists,2093,1290,1491,1491,2025-12-04
desktop,840,User Onboarding Consulting,Retail & Consumer Products,Gifts and Florists,2052,1273,1490,1490,2025-12-02
desktop,840,User Onboarding Consulting,Retail & Consumer Products,Gifts and Florists,2029,1277,1477,1477,2025-12-03
desktop,840,Personalized Outreach Software,Retail & Consumer Products,Gifts and Florists,2423,1141,1454,1454,2025-12-02
desktop,840,Lead Nurturing Services,Retail & Consumer Products,Gifts and Florists,2707,1124,1451,1451,2025-12-01
desktop,840,Mood Board Creator,Retail & Consumer Products,Gifts and Florists,2046,1223,1449,1449,2025-12-01
